 Name of the problem: kdd con lambda = 10/N
 Number of variables:   2014670  
 Number of observations:   510302  
-------------------------------------- 
 Iter            f          ||g||     dif_f       alpha      s*y      nnz 
  91   3.208045354e-01   1.890e-03   2.57e-04   1.00e+00  1.320e-03   5113 
  92   3.204701332e-01   3.628e-03   1.04e-03   1.00e+00  1.251e-03   5124 
  93   3.204057878e-01   1.773e-03   2.01e-04   1.00e+00  1.225e-03   5125 
  94   3.200891130e-01   3.515e-03   9.88e-04   1.00e+00  1.163e-03   5113 
  95   3.200380706e-01   1.753e-03   1.59e-04   1.00e+00  1.081e-03   5109 
  96   3.197479340e-01   3.317e-03   9.07e-04   1.00e+00  9.603e-04   5113 
  97   3.196990939e-01   1.417e-03   1.53e-04   1.00e+00  9.316e-04   5085 
  98   3.194239888e-01   3.138e-03   8.61e-04   1.00e+00  9.543e-04   5105 
  99   3.193346178e-01   1.572e-03   2.80e-04   2.00e-01  4.462e-05   5135 
 100   3.192055671e-01   5.548e-04   4.04e-04   1.00e+00  8.369e-04   5043 
 101   3.188854537e-01   3.560e-03   1.00e-03   1.00e+00  8.887e-04   5049 
 102   3.188020262e-01   1.091e-03   2.62e-04   2.00e-01  5.128e-05   5068 
 103   3.184678000e-01   2.618e-04   1.05e-03   1.00e+00  4.003e-04   4985 
 104   3.183390044e-01   2.013e-03   4.04e-04   1.00e+00  1.754e-03   4938 
 105   3.180024397e-01   2.203e-03   1.06e-03   1.00e+00  2.355e-03   4951 
 106   3.177555410e-01   3.496e-03   7.76e-04   1.00e+00  1.397e-03   4990 
 107   3.176279586e-01   1.977e-03   4.02e-04   1.00e+00  1.168e-03   4993 
 108   3.174167049e-01   2.907e-03   6.65e-04   1.00e+00  5.064e-04   5008 
 109   3.173112470e-01   3.329e-04   3.32e-04   1.00e+00  3.235e-04   4982 
 110   3.172014365e-01   2.070e-03   3.46e-04   1.00e+00  8.268e-04   4941 
 111   3.171472223e-01   1.957e-03   1.71e-04   1.00e+00  1.520e-03   4952 
 112   3.168931697e-01   3.826e-03   8.01e-04   1.00e+00  1.318e-03   4908 
 113   3.167773080e-01   1.654e-03   3.66e-04   1.00e+00  7.823e-04   4936 
 114   3.166294693e-01   2.424e-03   4.67e-04   1.00e+00  6.248e-04   4921 
 115   3.165415015e-01   1.135e-03   2.78e-04   1.00e+00  6.665e-04   4904 
 116   3.164243695e-01   2.389e-03   3.70e-04   1.00e+00  8.481e-04   4877 
 117   3.163695649e-01   1.738e-03   1.73e-04   1.00e+00  1.097e-03   4852 
 118   3.161574723e-01   3.135e-03   6.70e-04   1.00e+00  7.190e-04   4853 
 119   3.161186134e-01   8.501e-04   1.23e-04   1.00e+00  5.803e-04   4814 
 120   3.159475469e-01   2.608e-03   5.41e-04   1.00e+00  5.826e-04   4804 
 121   3.159387012e-01   9.540e-04   2.80e-05   1.00e+00  7.234e-04   4798 
Elapsed time is 405444.208682 seconds.
