 Name of the problem: Santander con lambda = 10/N
 Number of variables:    370  
 Number of observations:   76020 
 Online, b = 1% N
-------------------------------------- 
 Iter        f              ||g||     dif_f      alpha     s*y 
   0     1.952873414e+00   1.993e-01          
 Warning, small sTy < eps   4.48e-20 
 161   2.988706531e-01   3.776e-02   3.67e-02   5.87e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 162   2.168450026e-01   3.149e-02   8.20e-02   5.83e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 163   3.947555385e-01   2.603e-02   1.78e-01   5.80e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 164   2.663106970e-01   7.786e-02   1.28e-01   5.77e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 165   2.429052864e-01   3.265e-02   2.34e-02   5.73e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 166   1.889469069e-01   4.487e-02   5.40e-02   5.70e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 167   1.856664260e-01   3.560e-02   3.28e-03   5.67e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 168   2.133942843e-01   2.465e-02   2.77e-02   5.63e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 169   3.184873846e-01   1.784e-02   1.05e-01   5.60e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 170   2.039474214e-01   4.164e-02   1.15e-01   5.57e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 171   2.908158558e-01   2.551e-02   8.69e-02   5.54e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 172   9.747171981e-01   4.557e-02   6.84e-01   5.51e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 173   2.027184062e-01   2.791e-01   7.72e-01   5.48e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 174   2.462070205e-01   2.129e-02   4.35e-02   5.45e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 175   3.260508191e-01   3.309e-02   7.98e-02   5.42e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 176   2.886900445e-01   3.260e-02   3.74e-02   5.39e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 177   2.111039077e-01   4.639e-02   7.76e-02   5.36e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 178   2.700514013e-01   4.178e-02   5.89e-02   5.33e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 179   1.541829200e-01   4.116e-02   1.16e-01   5.31e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 180   2.941130921e-01   2.444e-02   1.40e-01   5.28e-02  0.000e+00  
 181   1.731524408e+00   5.295e-02   1.44e+00   5.25e-02       NaN  
 Warning, small sTy < eps   0.00e+00 
 182   2.016445945e-01        NaN   1.53e+00   5.22e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 183   2.141669932e-01   4.709e-02   1.25e-02   5.19e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 184   2.452912936e-01   3.810e-02   3.11e-02   5.17e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 185   2.668443609e-01   4.119e-02   2.16e-02   5.14e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 186   3.329997135e-01   8.690e-02   6.62e-02   5.11e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 187   2.558572762e-01   4.128e-02   7.71e-02   5.09e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 188   1.885683295e-01   2.595e-02   6.73e-02   5.06e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 189   9.134082202e-01   1.913e-02   7.25e-01   5.04e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 190   2.348637631e-01   2.790e-01   6.79e-01   5.01e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 191   2.335091560e-01   2.485e-02   1.35e-03   4.99e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 192   2.085667097e-01   4.151e-02   2.49e-02   4.96e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 193   2.104018537e-01   2.319e-02   1.84e-03   4.94e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 194   3.911854440e-01   1.673e-02   1.81e-01   4.91e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 195   2.150297023e-01   3.149e-02   1.76e-01   4.89e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 196   1.765251863e-01   2.732e-02   3.85e-02   4.87e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 197   2.729199682e-01   6.175e-02   9.64e-02   4.84e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 198   2.254442429e-01   2.815e-01   4.75e-02   4.82e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 199   2.455850847e-01   2.166e-02   2.01e-02   4.80e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 200   2.026187963e-01   3.164e-02   4.30e-02   4.77e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 201   2.839460539e-01   2.463e-02   8.13e-02   4.75e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 202   1.632795162e-01   2.836e-02   1.21e-01   4.73e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 203   2.764287599e-01   3.274e-02   1.13e-01   4.70e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 204   5.120957836e-01   2.031e-02   2.36e-01   4.68e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 205   2.124904669e-01   3.535e-02   3.00e-01   4.66e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 206   3.218473885e-01   2.886e-02   1.09e-01   4.64e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 207   2.262610716e-01   3.191e-02   9.56e-02   4.62e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 208   1.926523825e-01   2.017e-02   3.36e-02   4.60e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 209   2.132185872e-01   2.778e-02   2.06e-02   4.58e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 210   2.994717398e-01   2.066e-02   8.63e-02   4.55e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 211   3.797390696e-01   2.447e-02   8.03e-02   4.53e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 212   2.091061749e-01   7.052e-02   1.71e-01   4.51e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 213   2.700060799e-01   1.743e-02   6.09e-02   4.49e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 214   2.119572085e-01   2.845e-02   5.80e-02   4.47e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 215   3.503032623e-01   3.059e-02   1.38e-01   4.45e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 216   2.889402123e-01   4.585e-02   6.14e-02   4.43e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 217   5.367080264e-01   4.278e-02   2.48e-01   4.41e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 218   2.777087551e-01   3.522e-02   2.59e-01   4.39e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 219   2.951409254e-01   3.204e-02   1.74e-02   4.37e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 220   1.884557628e-01   3.232e-02   1.07e-01   4.36e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 221   2.608547013e-01   2.175e-02   7.24e-02   4.34e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 222   2.783285131e-01   3.705e-02   1.75e-02   4.32e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 223   7.000660021e-01   3.041e-02   4.22e-01   4.30e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 224   2.467002589e-01   8.714e-02   4.53e-01   4.28e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 225   2.294646078e-01   1.786e-02   1.72e-02   4.26e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 226   2.086874614e-01   2.907e-02   2.08e-02   4.24e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 227   2.754626359e-01   6.188e-02   6.68e-02   4.23e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 228   2.851601189e-01   3.228e-02   9.70e-03   4.21e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 229   1.971755223e-01   3.241e-02   8.80e-02   4.19e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 230   1.873032051e-01   1.738e-02   9.87e-03   4.17e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 231   2.920744790e-01   1.676e-02   1.05e-01   4.16e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 232   2.016828632e-01   4.588e-02   9.04e-02   4.14e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 233   2.810830484e-01   6.216e-02   7.94e-02   4.12e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 234   3.364376466e-01   2.080e-02   5.54e-02   4.10e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 235   2.318992496e-01   6.169e-02   1.05e-01   4.09e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 236   2.170751489e-01   1.676e-02   1.48e-02   4.07e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 237   2.647743823e-01   2.714e-02   4.77e-02   4.05e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 238   7.396655346e-01   2.040e-02   4.75e-01   4.04e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 239   2.732264412e-01   2.866e-02   4.66e-01   4.02e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 240   2.932567059e-01   2.576e-02   2.00e-02   4.01e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 241   2.501348972e-01   6.206e-02   4.31e-02   3.99e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 242   2.956139077e-01   2.739e-02   4.55e-02   3.97e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 243   2.744318688e-01   4.347e-02   2.12e-02   3.96e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 244   2.514460163e-01   3.781e-02   2.30e-02   3.94e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 245   2.598156518e-01   2.885e-02   8.37e-03   3.93e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 246   2.063579163e-01   2.514e-02   5.35e-02   3.91e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 247   2.102528746e-01   2.316e-02   3.89e-03   3.90e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 248   8.599449205e-01   2.098e-02   6.50e-01   3.88e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 249   1.625634973e-01   2.054e-01   6.97e-01   3.87e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 250   1.962265873e-01   2.453e-02   3.37e-02   3.85e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 251   2.829309479e-01   2.152e-02   8.67e-02   3.84e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 252   2.278563145e-01   2.275e-02   5.51e-02   3.82e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 253   2.977486506e-01   4.216e-02   6.99e-02   3.81e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 254   1.908991468e-01   3.365e-02   1.07e-01   3.79e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 255   2.487023859e-01   3.297e-02   5.78e-02   3.78e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 256   3.164414595e-01   3.148e-02   6.77e-02   3.76e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 257   2.161351917e-01   4.586e-02   1.00e-01   3.75e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
