 Name of the problem: Santander con lambda = 10/N
 Number of variables:    370  
 Number of observations:   76020  
-------------------------------------- 
 Iter        f              ||g||     dif_f       alpha     s*y 
 106   1.529037205e-01   8.696e-04   1.80e-04   2.00e-01  1.325e-04  
 107   1.528620699e-01   1.058e-03   2.72e-04   2.00e-01  1.140e-04  
 108   1.528304685e-01   7.667e-04   2.07e-04   2.00e-01  9.200e-05  
 109   1.527878414e-01   9.447e-04   2.79e-04   2.00e-01  6.988e-05  
 110   1.527498953e-01   7.163e-04   2.48e-04   2.00e-01  5.986e-05  
 111   1.527077909e-01   7.980e-04   2.76e-04   2.00e-01  9.006e-05  
 112   1.526684286e-01   8.612e-04   2.58e-04   2.00e-01  1.126e-04  
 113   1.526293318e-01   9.192e-04   2.56e-04   2.00e-01  1.213e-04  
 114   1.525999892e-01   8.708e-04   1.92e-04   2.00e-01  1.071e-04  
 115   1.525661890e-01   7.777e-04   2.21e-04   2.00e-01  1.054e-04  
 116   1.525376322e-01   8.572e-04   1.87e-04   2.00e-01  8.363e-05  
 117   1.525055965e-01   6.631e-04   2.10e-04   2.00e-01  6.704e-05  
 118   1.524671506e-01   6.572e-04   2.52e-04   2.00e-01  5.918e-05  
 119   1.524338269e-01   5.524e-04   2.19e-04   2.00e-01  8.042e-05  
 120   1.523991450e-01   7.330e-04   2.28e-04   2.00e-01  1.250e-04  
 121   1.523646988e-01   9.620e-04   2.26e-04   2.00e-01  1.256e-04  
 122   1.523322421e-01   7.759e-04   2.13e-04   2.00e-01  9.495e-05  
 123   1.523055423e-01   7.874e-04   1.75e-04   2.00e-01  8.251e-05  
 124   1.522674150e-01   7.541e-04   2.50e-04   2.00e-01  6.098e-05  
 125   1.522352736e-01   6.571e-04   2.11e-04   2.00e-01  6.300e-05  
 126   1.521958379e-01   7.801e-04   2.59e-04   2.00e-01  8.696e-05  
 127   1.521680667e-01   8.444e-04   1.82e-04   2.00e-01  1.358e-04  
 128   1.521362435e-01   9.969e-04   2.09e-04   2.00e-01  1.822e-04  
 129   1.520973143e-01   9.914e-04   2.56e-04   2.00e-01  1.538e-04  
 130   1.520630721e-01   8.692e-04   2.25e-04   2.00e-01  1.184e-04  
 131   1.520275794e-01   8.422e-04   2.33e-04   2.00e-01  1.057e-04  
 132   1.519860043e-01   8.383e-04   2.73e-04   2.00e-01  8.952e-05  
 133   1.519456548e-01   7.912e-04   2.65e-04   2.00e-01  8.653e-05  
 134   1.519049546e-01   8.403e-04   2.68e-04   2.00e-01  1.072e-04  
 135   1.518607500e-01   8.787e-04   2.91e-04   2.00e-01  1.286e-04  
 136   1.518192568e-01   9.489e-04   2.73e-04   2.00e-01  1.376e-04  
 137   1.517905684e-01   8.383e-04   1.89e-04   2.00e-01  1.784e-04  
 138   1.517526367e-01   1.174e-03   2.50e-04   2.00e-01  2.031e-04  
 139   1.517227461e-01   1.006e-03   1.97e-04   2.00e-01  1.719e-04  
 140   1.516799912e-01   1.096e-03   2.82e-04   2.00e-01  1.106e-04  
 141   1.516599565e-01   6.936e-04   1.32e-04   2.00e-01  1.065e-04  
 142   1.516154304e-01   1.132e-03   2.94e-04   2.00e-01  7.768e-05  
 143   1.515803565e-01   6.850e-04   2.31e-04   2.00e-01  1.814e-05  
 144   1.514212140e-01   3.332e-04   1.05e-03   1.00e+00  4.640e-05  
 145   1.513849130e-01   6.324e-04   2.40e-04   2.00e-01  3.619e-04  
 146   1.513305235e-01   1.329e-03   3.59e-04   2.00e-01  7.513e-04  
 147   1.512231288e-01   1.754e-03   7.10e-04   2.00e-01  6.727e-04  
 148   1.512013248e-01   1.290e-03   1.44e-04   2.00e-01  6.327e-04  
 149   1.510946117e-01   1.688e-03   7.06e-04   2.00e-01  5.148e-04  
 150   1.510575893e-01   1.078e-03   2.45e-04   4.00e-02  1.914e-05  
 151   1.510318564e-01   8.382e-04   1.70e-04   4.00e-02  1.141e-05  
 152   1.510170409e-01   5.776e-04   9.81e-05   2.00e-01  2.138e-04  
 153   1.509664396e-01   1.611e-03   3.35e-04   2.00e-01  2.292e-04  
 154   1.509287950e-01   7.940e-04   2.49e-04   2.00e-01  1.462e-04  
 155   1.509022736e-01   8.393e-04   1.76e-04   2.00e-01  5.612e-05  
 156   1.508803869e-01   4.486e-04   1.45e-04   1.00e+00  2.029e-04  
 157   1.508142165e-01   9.366e-04   4.39e-04   2.00e-01  5.780e-05  
 158   1.507813083e-01   5.434e-04   2.18e-04   2.00e-01  5.002e-05  
 159   1.507620050e-01   8.306e-04   1.28e-04   2.00e-01  6.151e-05  
 160   1.507380831e-01   8.374e-04   1.59e-04   2.00e-01  8.388e-05  
 161   1.507152150e-01   1.014e-03   1.52e-04   2.00e-01  9.858e-05  
 162   1.506923871e-01   8.863e-04   1.51e-04   2.00e-01  1.192e-04  
 163   1.506684058e-01   1.177e-03   1.59e-04   2.00e-01  1.186e-04  
 164   1.506406765e-01   9.284e-04   1.84e-04   2.00e-01  9.159e-05  
 165   1.506216313e-01   1.049e-03   1.26e-04   2.00e-01  8.367e-05  
 166   1.505934764e-01   8.980e-04   1.87e-04   2.00e-01  6.240e-05  
 167   1.505646888e-01   8.968e-04   1.91e-04   2.00e-01  2.584e-05  
